label,token,occurrence
__label__meta_minus_m,cenę,83
__label__meta_minus_m,pytania,82
__label__meta_minus_m,chociaż,82
__label__meta_minus_m,parking,82
__label__meta_minus_m,strasznie,82
__label__meta_minus_m,jedzenia,82
__label__meta_minus_m,wygląda,82
__label__meta_minus_m,centrum,82
__label__meta_minus_m,wielu,81
__label__meta_minus_m,moze,81
__label__meta_minus_m,trudno,81
__label__meta_minus_m,dzieckiem,80
__label__meta_minus_m,rzeczy,80
__label__meta_minus_m,fakt,80
__label__meta_minus_m,opinii,80
__label__meta_minus_m,trzy,80
__label__meta_minus_m,tez,80
__label__meta_minus_m,wszystkich,80
__label__meta_minus_m,brudna,80
__label__meta_minus_m,sa,79
__label__meta_minus_m,chciał,78
__label__meta_minus_m,itp,78
__label__meta_minus_m,często,78
__label__meta_minus_m,cenie,78
__label__meta_minus_m,poszła,78
__label__meta_minus_m,wie,77
__label__meta_minus_m,tą,77
__label__meta_minus_m,uwagi,77
__label__meta_minus_m,wręcz,77
__label__meta_minus_m,informacji,76
__label__meta_minus_m,lokalizacja,76
__label__meta_minus_m,pierwszej,76
__label__meta_minus_m,powinno,75
__label__meta_minus_m,okna,75
__label__meta_minus_m,zabiegu,75
__label__meta_minus_m,barze,75
__label__meta_minus_m,duży,74
__label__meta_minus_m,łazienki,74
__label__meta_minus_m,mówiąc,74
__label__meta_minus_m,ludzie,73
__label__meta_minus_m,miły,73
__label__meta_minus_m,powiedzieć,73
__label__meta_minus_m,dniach,73
__label__meta_minus_m,takich,73
__label__meta_minus_m,problemu,73
__label__meta_minus_m,porażka,73
__label__meta_minus_m,masakra,72
__label__meta_minus_m,prywatnie,72
__label__meta_minus_m,stwierdziła,72
__label__meta_minus_m,względu,72
__label__meta_minus_m,same,71
__label__meta_minus_m,operacji,71
__label__meta_minus_m,uważam,71
__label__meta_minus_m,żadnej,71
__label__meta_minus_m,moich,71
__label__meta_minus_m,będę,71
__label__meta_minus_m,recepcja,71
__label__meta_minus_m,uwagę,71
__label__meta_minus_m,najgorsze,70
__label__meta_minus_m,dokładnie,70
__label__meta_minus_m,końca,70
__label__meta_minus_m,jakim,70
__label__meta_minus_m,trakcie,70
__label__meta_minus_m,potrafi,70
__label__meta_minus_m,osoba,70
__label__meta_minus_m,kolejny,70
__label__meta_minus_m,zdjęcia,70
__label__meta_minus_m,jesli,70
__label__meta_minus_m,należy,70
__label__meta_minus_m,podejście,69
__label__meta_minus_m,ciążę,69
__label__meta_minus_m,godz,69
__label__meta_minus_m,trwała,68
__label__meta_minus_m,mniej,68
__label__meta_minus_m,pół,68
__label__meta_minus_m,nadal,68
__label__meta_minus_m,stanowczo,68
__label__meta_minus_m,kawa,68
__label__meta_minus_m,ciągu,68
__label__meta_minus_m,zdaniem,68
__label__meta_minus_m,jednej,68
__label__meta_minus_m,drugiej,68
__label__meta_minus_m,taką,68
__label__meta_minus_m,zewnątrz,68
__label__meta_minus_m,all,68
__label__meta_minus_m,przecież,68
__label__meta_minus_m,czegoś,67
__label__meta_minus_m,tydzień,67
__label__meta_minus_m,pacjentów,67
__label__meta_minus_m,jedną,67
__label__meta_minus_m,dodam,67
__label__meta_minus_m,klienta,66
__label__meta_minus_m,całą,66
__label__meta_minus_m,dobra,66
__label__meta_minus_m,słychać,66
__label__meta_minus_m,człowiek,66
__label__meta_minus_m,byl,66
__label__meta_minus_m,łóżko,66
__label__meta_minus_m,ból,66
__label__meta_minus_m,meble,66
__label__meta_minus_m,wiecej,66
__label__meta_minus_m,szczerze,65
__label__meta_minus_m,choroby,65
__label__meta_minus_m,jednego,65
__label__meta_minus_m,pościel,65
__label__meta_minus_m,zeby,65
__label__meta_minus_m,zwłaszcza,65
__label__meta_minus_m,leków,65
__label__meta_minus_m,personel,65
__label__meta_minus_m,oprócz,65
__label__meta_minus_m,udało,64
__label__meta_minus_m,słowa,64
__label__meta_minus_m,ciężko,64
__label__meta_minus_m,tragedia,64
__label__meta_minus_m,blisko,64
__label__meta_minus_m,skoro,64
__label__meta_minus_m,witam,64
__label__meta_minus_m,usłyszała,63
__label__meta_minus_m,dobrego,63
__label__meta_minus_m,warto,63
__label__meta_minus_m,kolejne,63
__label__meta_minus_m,samego,62
__label__meta_minus_m,musieli,62
__label__meta_minus_m,inaczej,62
__label__meta_minus_m,długo,62
__label__meta_minus_m,reszta,62
__label__meta_minus_m,stan,61
__label__meta_minus_m,ściany,61
__label__meta_minus_m,podsumowując,61
__label__meta_minus_m,basenu,61
__label__meta_minus_m,miesięcy,61
__label__meta_minus_m,wszędzie,61
__label__meta_minus_m,przyszła,61
__label__meta_minus_m,części,61
__label__meta_minus_m,budynku,61
__label__meta_minus_m,rok,60
__label__meta_minus_m,klientów,60
__label__meta_minus_m,widok,60
__label__meta_minus_m,szczególnie,60
__label__meta_minus_m,życzenia,60
__label__meta_minus_m,słabo,60
__label__meta_minus_m,lek,60
__label__meta_minus_m,klimatyzacji,60
__label__meta_minus_m,swojej,60
__label__meta_minus_m,takiej,60
__label__meta_minus_m,obiekt,60
__label__meta_minus_m,pomocy,59
__label__meta_minus_m,goście,59
__label__meta_minus_m,plaży,59
__label__meta_minus_m,zapłacić,59
__label__meta_minus_m,brud,59
__label__meta_minus_m,ciągle,59
__label__meta_minus_m,kawy,59
__label__meta_minus_m,sali,59
__label__meta_minus_m,właściciel,59
__label__meta_minus_m,duże,59
__label__meta_minus_m,nfz,59
__label__meta_minus_m,proszę,58
__label__meta_minus_m,itd,58
__label__meta_minus_m,kuchnia,58
__label__meta_minus_m,zjeść,58
__label__meta_minus_m,poziomie,58
__label__meta_minus_m,gorzej,58
__label__meta_minus_m,typu,58
__label__meta_minus_m,brudny,57
__label__meta_minus_m,kompletnie,57
__label__meta_minus_m,przychodni,57
__label__meta_minus_m,pewnie,57
__label__meta_minus_m,mówi,57
__label__meta_minus_m,koszmar,57
__label__meta_minus_m,tv,57
__label__meta_minus_m,karty,57
__label__meta_minus_m,brudno,57
__label__meta_minus_m,cała,57
__label__meta_minus_m,iść,57
__label__meta_minus_m,byla,57
__label__meta_minus_m,najgorszy,56
__label__meta_minus_m,życiu,56
__label__meta_minus_m,pierwsza,56
__label__meta_minus_m,rozumiem,56
__label__meta_minus_m,swoich,56
__label__meta_minus_m,praktycznie,56
__label__meta_minus_m,absolutnie,56
__label__meta_minus_m,smród,56
__label__meta_minus_m,daje,56
__label__meta_minus_m,klimatyzacja,56
__label__meta_minus_m,euro,56
__label__meta_minus_m,tygodnie,56
__label__meta_minus_m,mozna,56
__label__meta_minus_m,dowiedziała,56
__label__meta_minus_m,inclusive,56
__label__meta_minus_m,ponownie,55
__label__meta_minus_m,niemiła,55
__label__meta_minus_m,wiadomo,55
__label__meta_minus_m,skierowanie,55
__label__meta_minus_m,zrobiła,55
__label__meta_minus_m,ulicy,55
__label__meta_minus_m,dziećmi,55
__label__meta_minus_m,smaczne,54
__label__meta_minus_m,jedyne,54
__label__meta_minus_m,zimne,54
__label__meta_minus_m,zrobił,54
__label__meta_minus_m,pacjent,54
__label__meta_minus_m,chwili,54
__label__meta_minus_m,całe,54
__label__meta_minus_m,drugie,53
__label__meta_minus_m,najbardziej,53
__label__meta_minus_m,efekt,53
__label__meta_minus_m,miało,53
__label__meta_minus_m,duzo,53
__label__meta_minus_m,menu,53
__label__meta_minus_m,celu,53
__label__meta_minus_m,zostały,53
__label__meta_minus_m,przynajmniej,53
__label__meta_minus_m,czuła,52
__label__meta_minus_m,wydaje,52
__label__meta_minus_m,byc,52
__label__meta_minus_m,kuchni,52
__label__meta_minus_m,telewizor,52
__label__meta_minus_m,spać,52
__label__meta_minus_m,słabe,52
__label__meta_minus_m,hotelach,52
__label__meta_minus_m,położony,52
__label__meta_minus_m,obiad,52
__label__meta_minus_m,dostał,52
__label__meta_minus_m,diagnoza,51
__label__meta_minus_m,głośno,51
__label__meta_minus_m,posiłki,51
__label__meta_minus_m,okolicy,51
__label__meta_minus_m,mała,51
__label__meta_minus_m,hotelem,51
__label__meta_minus_m,dało,51
__label__meta_minus_m,zimna,51
__label__meta_minus_m,plaża,51
__label__meta_minus_m,hałas,51
__label__meta_minus_m,razie,51
__label__meta_minus_m,godzin,51
__label__meta_minus_m,koszt,50
__label__meta_minus_m,wizyt,50
__label__meta_minus_m,ktore,50
__label__meta_minus_m,czekać,50
__label__meta_minus_m,podobno,50
__label__meta_minus_m,robić,50
__label__meta_minus_m,góry,50
__label__meta_minus_m,spotkała,50
__label__meta_minus_m,słowem,50
__label__meta_minus_m,wieczorem,50
__label__meta_minus_m,bar,50
__label__meta_minus_m,wejściu,49
__label__meta_minus_m,akurat,49
__label__meta_minus_m,opinię,49
__label__meta_minus_m,zostało,49
__label__meta_minus_m,sami,49
__label__meta_minus_m,miejsc,49
__label__meta_minus_m,stary,49
__label__meta_minus_m,obiektu,49
__label__meta_minus_m,zimno,49
__label__meta_minus_m,kupił,49
__label__meta_minus_m,prysznic,49
__label__meta_minus_m,znajduje,49
__label__meta_minus_m,dziwne,49
__label__meta_minus_m,lecz,49
__label__meta_minus_m,bólu,49
__label__meta_minus_m,zadowolona,48
__label__meta_minus_m,dzieje,48
__label__meta_minus_m,tygodniu,48
__label__meta_minus_m,sytuacja,48
__label__meta_minus_m,opiniami,48
__label__meta_minus_m,porządku,48
__label__meta_minus_m,receptę,48
__label__meta_minus_m,znowu,48
__label__meta_minus_m,b,48
__label__meta_minus_m,wszyscy,47
__label__meta_minus_m,widokiem,47
__label__meta_minus_m,nocleg,47
__label__meta_minus_m,niczego,47
__label__meta_minus_m,uwaga,47
__label__meta_minus_m,wyszła,47
__label__meta_minus_m,znaleźć,47
__label__meta_minus_m,diagnozy,47
__label__meta_minus_m,niczym,47
__label__meta_minus_m,pomógł,46
__label__meta_minus_m,wiedziała,46
__label__meta_minus_m,latach,46
__label__meta_minus_m,plusem,46
__label__meta_minus_m,ledwo,46
__label__meta_minus_m,brakowało,46
__label__meta_minus_m,wodę,46
__label__meta_minus_m,godzinie,46
__label__meta_minus_m,pozostawia,46
__label__meta_minus_m,minus,46
__label__meta_minus_m,problemem,46
__label__meta_minus_m,warunki,46
__label__meta_minus_m,właściwie,46
__label__meta_minus_m,pokoj,46
__label__meta_minus_m,zasługuje,46
__label__meta_minus_m,zl,46
__label__meta_minus_m,pierwszym,45
__label__meta_minus_m,wyboru,45
__label__meta_minus_m,sporo,45
__label__meta_minus_m,sumie,45
__label__meta_minus_m,ostatni,45
__label__meta_minus_m,pomóc,45
__label__meta_minus_m,lepsze,45
__label__meta_minus_m,godzinę,45
__label__meta_minus_m,odpowiedzi,45
__label__meta_minus_m,swoim,45
__label__meta_minus_m,godzinach,45
__label__meta_minus_m,dawno,45
__label__meta_minus_m,cos,44
__label__meta_minus_m,zaczęła,44
__label__meta_minus_m,pacjentem,44
__label__meta_minus_m,wynik,44
__label__meta_minus_m,miesiąc,44
__label__meta_minus_m,wizytą,44
__label__meta_minus_m,niezbyt,44
__label__meta_minus_m,standardzie,44
__label__meta_minus_m,wodą,44
__label__meta_minus_m,internet,44
__label__meta_minus_m,usług,44
__label__meta_minus_m,całym,44
__label__meta_minus_m,ładny,44
__label__meta_minus_m,remontu,44
__label__meta_minus_m,pacjentki,44
__label__meta_minus_m,monotonne,44
__label__meta_minus_m,pory,44
__label__meta_minus_m,zdrowia,44
__label__meta_minus_m,miesiące,44
__label__meta_minus_m,zapytała,44
__label__meta_minus_m,chodziła,44
__label__meta_minus_m,obsluga,44
__label__meta_minus_m,parę,43
__label__meta_minus_m,dobrym,43
__label__meta_minus_m,rzeczywistości,43
__label__meta_minus_m,osobiście,43
__label__meta_minus_m,recepcjonistka,43
__label__meta_minus_m,miesiącach,43
__label__meta_minus_m,podłodze,43
__label__meta_minus_m,zapłaciła,43
__label__meta_minus_m,całkiem,43
__label__meta_minus_m,wymaga,43
__label__meta_minus_m,wrócę,43
__label__meta_minus_m,lubi,42
__label__meta_minus_m,kolejna,42
__label__meta_minus_m,plusy,42
__label__meta_minus_m,personelu,42
__label__meta_minus_m,panu,42
__label__meta_minus_m,miały,42
__label__meta_minus_m,dolegliwości,42
__label__meta_minus_m,dzięki,42
__label__meta_minus_m,grzyb,42
__label__meta_minus_m,pomoc,42
__label__meta_minus_m,kontakt,42
__label__meta_minus_m,dał,42
__label__meta_minus_m,oczekiwania,42
__label__meta_minus_m,hoteli,42
__label__meta_minus_m,braku,42
__label__meta_minus_m,druga,42
__label__meta_minus_m,kolacji,42
__label__meta_minus_m,wcale,42
__label__meta_minus_m,syf,42
__label__meta_minus_m,bylam,41
__label__meta_minus_m,sytuacji,41
__label__meta_minus_m,większość,41
__label__meta_minus_m,recepty,41
__label__meta_minus_m,otrzymali,41
__label__meta_minus_m,prysznicem,41
__label__meta_minus_m,diagnozę,41
__label__meta_minus_m,kolacje,41
__label__meta_minus_m,otrzymała,41
__label__meta_minus_m,ręczników,41
__label__meta_minus_m,parkingu,41
__label__meta_minus_m,kupić,41
__label__meta_minus_m,prawda,41
__label__meta_minus_m,posiada,41
__label__meta_minus_m,zostali,41
__label__meta_minus_m,gwiazdek,41
__label__meta_minus_m,różnych,41
__label__meta_minus_m,badaniu,41
__label__meta_minus_m,sprawa,41
__label__meta_minus_m,weekend,41
__label__meta_minus_m,internecie,41
__label__meta_minus_m,rozczarowanie,41
__label__meta_minus_m,mogli,40
__label__meta_minus_m,dodatkowe,40
__label__meta_minus_m,tabletki,40
__label__meta_minus_m,rozmowy,40
__label__meta_minus_m,głowy,40
__label__meta_minus_m,ginekologa,40
__label__meta_minus_m,sprzątanie,40
__label__meta_minus_m,ofercie,40
__label__meta_minus_m,zasadzie,40
__label__meta_minus_m,ponadto,40
__label__meta_minus_m,ilość,40
__label__meta_minus_m,błąd,40
__label__meta_minus_m,wizyte,40
__label__meta_minus_m,rzeczywiście,40
__label__meta_minus_m,podstawie,40
__label__meta_minus_m,jacuzzi,40
__label__meta_minus_m,napoje,40
__label__meta_minus_m,smaku,40
__label__meta_minus_m,apartament,40
__label__meta_minus_m,serwis,40
__label__meta_minus_m,jesteśmy,40
__label__meta_minus_m,km,40
__label__meta_minus_m,dziecku,40
__label__meta_minus_m,nosa,40
__label__meta_minus_m,piętrze,40
__label__meta_minus_m,położenie,40
__label__meta_minus_m,pozdrawiam,40
__label__meta_minus_m,śmierdzi,39
__label__meta_minus_m,zarówno,39
__label__meta_minus_m,chwilę,39
__label__meta_minus_m,widziała,39
__label__meta_minus_m,konsultacji,39
__label__meta_minus_m,zachowanie,39
__label__meta_minus_m,swojego,39
__label__meta_minus_m,poziom,39
__label__meta_minus_m,naszym,39
__label__meta_minus_m,najpierw,39
__label__meta_minus_m,opinia,39
__label__meta_minus_m,stopni,39
__label__meta_minus_m,sauny,39
__label__meta_minus_m,czyste,39
__label__meta_minus_m,maja,39
__label__meta_minus_m,windy,39
__label__meta_minus_m,żaden,39
__label__meta_minus_m,oczy,39
__label__meta_minus_m,środku,39
__label__meta_minus_m,problemów,39
__label__meta_minus_m,prawdopodobnie,39
__label__meta_minus_m,wielki,39
__label__meta_minus_m,dania,39
__label__meta_minus_m,wielkie,39
__label__meta_minus_m,myślę,39
__label__meta_minus_m,naszej,39
__label__meta_minus_m,wakacje,39
__label__meta_minus_m,innej,38
__label__meta_minus_m,drogi,38
__label__meta_minus_m,informacje,38
__label__meta_minus_m,przyjechali,38
__label__meta_minus_m,odpowiada,38
__label__meta_minus_m,wywiad,38
__label__meta_minus_m,zmieniła,38
__label__meta_minus_m,dodatku,38
__label__meta_minus_m,wi,38
__label__meta_minus_m,dobę,38
__label__meta_minus_m,brakuje,38
__label__meta_minus_m,zabaw,38
__label__meta_minus_m,miasta,38
__label__meta_minus_m,piwo,38
__label__meta_minus_m,część,38
__label__meta_minus_m,spędzić,38
__label__meta_minus_m,dosłownie,38
__label__meta_minus_m,pozytywne,37
__label__meta_minus_m,specjalisty,37
__label__meta_minus_m,oka,37
__label__meta_minus_m,wszystkiego,37
__label__meta_minus_m,leczyć,37
__label__meta_minus_m,śmieci,37
__label__meta_minus_m,wg,37
__label__meta_minus_m,wspomnę,37
__label__meta_minus_m,tzw,37
__label__meta_minus_m,fi,37
__label__meta_minus_m,naprawde,37
__label__meta_minus_m,dodatek,37
__label__meta_minus_m,płatne,37
__label__meta_minus_m,kazał,37
__label__meta_minus_m,zaczął,37
__label__meta_minus_m,poniżej,37
__label__meta_minus_m,wyłącznie,37
__label__meta_minus_m,zmiany,37
__label__meta_minus_m,nieco,37
__label__meta_minus_m,przede,37
__label__meta_minus_m,obsługę,37
__label__meta_minus_m,rana,37
__label__meta_minus_m,otrzymał,37
__label__meta_minus_m,śniadaniu,37
__label__meta_minus_m,swoją,36
__label__meta_minus_m,lekarze,36
__label__meta_minus_m,ramach,36
__label__meta_minus_m,jaką,36
__label__meta_minus_m,całkowicie,36
__label__meta_minus_m,miarę,36
__label__meta_minus_m,ktory,36
__label__meta_minus_m,zna,36
__label__meta_minus_m,zanim,36
__label__meta_minus_m,złe,36
__label__meta_minus_m,przyjmuje,36
__label__meta_minus_m,samej,36
__label__meta_minus_m,zdjęciach,36
__label__meta_minus_m,wyjazd,36
__label__meta_minus_m,ktora,36
__label__meta_minus_m,in,36
__label__meta_minus_m,coraz,36
__label__meta_minus_m,hostelu,36
__label__meta_minus_m,znacznie,36
__label__meta_minus_m,minuty,36
__label__meta_minus_m,widział,36
__label__meta_minus_m,następnego,36
__label__meta_minus_m,osobą,36
__label__meta_minus_m,booking,36
__label__meta_minus_m,chcę,35
__label__meta_minus_m,pewnością,35
__label__meta_minus_m,dzien,35
__label__meta_minus_m,jeść,35
__label__meta_minus_m,mini,35
__label__meta_minus_m,inni,35
__label__meta_minus_m,sprawia,35
__label__meta_minus_m,dała,35
__label__meta_minus_m,wykładzina,35
__label__meta_minus_m,nowy,35
__label__meta_minus_m,szukać,35
__label__meta_minus_m,leżaki,35
__label__meta_minus_m,ciepłej,35
__label__meta_minus_m,dań,35
__label__meta_minus_m,wraz,35
__label__meta_minus_m,wystrój,35
__label__meta_minus_m,dostać,35
__label__meta_minus_m,kelner,35
__label__meta_minus_m,zaraz,35
__label__meta_minus_m,minutach,35
__label__meta_minus_m,wróciła,35
__label__meta_minus_m,najlepiej,34
__label__meta_minus_m,leczyła,34
__label__meta_minus_m,podróży,34
__label__meta_minus_m,sauna,34
__label__meta_minus_m,mógł,34
__label__meta_minus_m,korytarzu,34
__label__meta_minus_m,wifi,34
__label__meta_minus_m,boli,34
__label__meta_minus_m,okropne,34
__label__meta_minus_m,trafili,34
__label__meta_minus_m,normalnie,34
__label__meta_minus_m,cóż,34
__label__meta_minus_m,pracuje,34
__label__meta_minus_m,temperatura,34
__label__meta_minus_m,przypadek,34
__label__meta_minus_m,wygodne,34
__label__meta_minus_m,faktycznie,34
__label__meta_minus_m,kontaktu,34
__label__meta_minus_m,całego,34
__label__meta_minus_m,czysto,34
__label__meta_minus_m,znalazła,34
__label__meta_minus_m,max,34
__label__meta_minus_m,nadzieję,34
__label__meta_minus_m,kelnerka,34
__label__meta_minus_m,okno,34
__label__meta_minus_m,stara,34
__label__meta_minus_m,produkt,34
__label__meta_minus_m,zlecił,34
__label__meta_minus_m,drogie,33
__label__meta_minus_m,krwi,33
__label__meta_minus_m,mama,33
__label__meta_minus_m,wokół,33
__label__meta_minus_m,podłogi,33
